tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,nChamps
GRANDMASTER,Vv61_1-7FC09a2pIopTmovtL00fhEW2J7goGvP6IJPP_WfWQkW5PxB09mA,Talon98,301,127,85,False,False,False,False,e2ALS0S-YnZvrxroCYms83zd9BxgCR1DOZj8As090Z--qqcWkhLA_1j9,6
GRANDMASTER,LvdAal0kY0IeaWtvospIB3rJEup88Y05ayFdg5VlwNWKFpljzIRerZNLLw,yi xia fan shang,372,251,209,False,False,True,False,wcvXCp665xtxUSEfqdBQcFVyv92EkRBW1F0Dlba8oCLjDC0iXtPm6jdK,8
GRANDMASTER,VKyT5wGNZ299NKLlHahntAUKyrexR2E_G08a-voOkiwpGhQd2_0WfxlyNQ,강아지늑대,603,99,68,False,False,False,False,ACx_zl7IUMHShDkYRb5xh541-5mspifvpL7qAxULZefhmnVw8HVfETNr,8
GRANDMASTER,fchb-DzCgqr-Hf3kWWwHo4E2-ZEIZ33DDqRIz5LyvzzoYG4,2000 02 09,599,439,413,False,False,True,True,Mc-vtvql8z_ELnR1F9KaNJWoSXTHqSWTmaBQ3q5EIpUgALw,6
GRANDMASTER,_nxywKAZ3gbmxhzT7WDbfPIgEsDnwcjnoQb11TP5-k_ohQA,qccaksjdvkioe,240,139,119,False,False,True,True,SpwTXzAgEOwG0nH0M9TcawscBWk3c0v1fmdhX6FvRWnU6e7b6KAPF9MP,10
GRANDMASTER,jP1kBbidUsXUZaDFs9JtaTrhMruJsdkveuQR02mUkVMfEm4K,T1Makabaca,406,119,77,False,False,True,False,MmE5iKqPifbkxIEZ_XriRmZkQNiF2gmZcm9Z1cSHneY2cV6ARVNIaR_N,7
GRANDMASTER,PArpGg8B63gpyG8dPSuUOyeqrZI4-DLYBWuCxqb2k8MMbOSrn9HUr0IfBQ,xiaofangOVO,482,163,130,True,False,False,False,D1N9Hlr_p3R3a4v4G2Mjm2mSiohEdBaOA5eOMrwti3bUXQmoEAWFMjqK,6
GRANDMASTER,WJMMneHxqW4n4cWnVnLHP1gLGT8ARwniCIv8y_zN6NN_1kn6TY_rbqK8jA,농부 임진혁,390,199,167,False,False,False,False,xlnF-II6d8z-QLhMqHp9ybGUPzRlHO1REHEJTv9tmjGmDrGNoRFOTprD,9
GRANDMASTER,ggcl2SgGmksQHffqepGojqRkNlczyX6WRb5hhupEZDo6hbCz0U57gipmRA,AAA quankoko,247,134,100,False,False,False,False,763GWvAAl0G7wWizi8exqomEoIUOXcThaoXHY76ODqyft6ETxG1jp9vC,5
GRANDMASTER,I96rG-JEzqbMIYKbHbQBoIJIEt6tRFrEDV6xUVtHo4qJlOM,Clever7,459,269,236,False,False,False,False,Y9vuZmLcXy2LpF46e9lmfmjW5zK7Br5Guk7qM_Kp37KwXtk,7
GRANDMASTER,mwH1UPlNvxU-Rk_0wG-xyzSdMWItb1_GSVCYoHVQsuOvTE8,메이첼,478,283,252,True,False,False,True,p5Kb2w5_tUoRS1fp_XGjV9X9zrn6PAD4zlDpwckC4DQCH3bCZuy1WRA3,9
GRANDMASTER,IzL1jTbAaGUK6oNHLSNlLwww9wSrYmfuTHUYPqTcY4NTYOY,hahage,582,400,362,False,False,True,False,v0J22urUyk6K6twz4qG5__9LS2nnq3RreYWyGhTp32-HTburPjmZ2ua-,8
GRANDMASTER,y4quMGhQ_dJ_8z3IMoRejK7BvcQziuXOekrKvsRkoDDiTpQ,48Kg 뺀사람,239,244,221,False,False,True,False,9LTuHg2cUo01A4N2p7_7jIUGAKTpSYBvQ1Cm-CS1iKe2w2k,5
GRANDMASTER,n3l3A3SKFylBt0apo9atbmLWaD8nRwxRVCUYdiDLoyM2zOg,당근채찍맞는Cs,471,141,118,False,False,False,True,hogzAP7Tqs6m27Sh1YnNQoWwwP-6uW76GyySlKD0WBz7toZDMIIIIbzd,1
GRANDMASTER,PQKdPt-yxdiGF0Sfygw6mA90QyNqY9dcnBmBPJdkoPKcy6A,댕청잇,426,129,99,False,False,True,True,6e3a-qNxvSnIHmfleaDozDse4KpSwWuUu9VdtoP16rXEkUeHU_CuOVds,9
GRANDMASTER,njUeJm9wVrXdyvvhA52-zwi0sKE0vdEVbCKlYt6UAnxV4jM,승승웅,350,128,89,False,False,False,False,c_aqjV86FF3UVLOwC5-Egw_je1qQvwgq1ZTIwJ-n4TKwYgkLKfejpxxR,5
GRANDMASTER,9SwHBQC4MD35snAONKrqgJDzoa600InY3brHhHJZqFMQ-AKIQcjTr5AcXA,youzhijingcheng,168,131,98,False,False,True,False,TpoaCcPM_UiPDaxeEqqGfZdcgRoBQGelQSlMvj8AFeTK-XvJ5-sycIim,12
GRANDMASTER,N9Uf1WggiGRNzDoSm2N07MBfGu6jrzsbgI86CIMdj8RPYMs,이프 SPACE,325,230,195,True,False,False,False,h_H-cqcmvQo5BYgSOUvniOZqtW6JzhIQMxRQ-fvdFbWlXcj_Vz3PFesO,8
GRANDMASTER,qYYPeVbY519I0Vr5hZtU86M1Mw9YDeqP-CwbFl0RXGz04g_ckxR1g1ir4g,LMLY,369,469,437,True,False,False,False,yUl61fuqjIhYfL1xQirEgcFWDewdprlJHhYbfvM53Tp9AeRLS6M76tq7,11
GRANDMASTER,aYjJSCw5gF0I8Prbm3Vjz87vDHTXJ4V7bNl3ehd4Dt3u_xc,과인이 두려운가,316,356,331,False,False,True,False,0lqKsBogtnhMVxgY5yQTd3cam1Mtdu0etYF6tr8TyUi0jwoLydMGufR0,9
GRANDMASTER,z28_qtpOYPosentqAxUQfHnZ5fgBsyW4-fqtln0YYdbhMmo,ZED99,566,181,157,False,False,True,False,Jr29dQorWIxQhkD-LzcDd8xGWnIf9BMefULfUPCHkC3UW9A7ifFXFFYS,1
GRANDMASTER,EAeuz3YIKBAkG2F7RcUcsYnwPrkALCi2vMfvivj2hR_-rvM,Luv1etter,520,140,116,False,False,False,False,DLGpxSPGl-5adQSJL2V1vWKoSzEIawSJRxiTLR5mPSBTcpSdULG8tps2,11
GRANDMASTER,6ZigwXDi5jnp4Rhl1DFDGO3NtrFRMkDqMgt_42cUdH3-IG0,always byurside,591,370,286,True,False,False,True,GJp03sDSi3bl9QKJn8hR_Fa8CjagnfaoR0hmq5f4D29dOOv28ETzJeh_,4
