tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,OoT39aSuf5n3KUgRXHMe4pyW0XHfue-OsHz6aDZ0tmG4N_HO4rRAb2n1Bw,SUPKING1,1,164,118,False,False,True,True
MASTER,Ie9sie3Ce4gZ-ZoGXDtl-QwAFuxnNMzqVd7K18kC6rZJ1Mg,갓누붕이,37,134,123,False,False,False,False
MASTER,YKw0UAwaQCkEwquXChP9kK9IFaFarbRqhWJmH4h_E3MuGNM,Ent is angry,237,207,168,False,False,True,False
MASTER,WI30LqHYa0HmuXIO8kxGe-yifK8S7DPQej6G8eweWwdp1IU,라꼬기,59,119,94,False,False,False,True
MASTER,4S2Nh-WZZr-kaQn5reliridsO3Mb8Sja8845Ggcx_pdWZDLnsRtrUbgkLQ,dnjselfckdl,120,129,103,False,False,False,False
MASTER,s0Cr-U4BRJ3RMrKdh7tp7jiqOKtpGtUjT0mrs0MmG8em_Q,베인잘함,25,52,33,False,False,False,False
MASTER,7ixZGSTxqKMXFjlpXgbEGSnZZsDl4fxYVEE2uY7bGZsFMOw,Shadow adele,85,212,196,False,False,False,False
MASTER,N81y6v_-J88fjvR1CtpZtBjD0ENjEoiHtEDWmztIPbdXiFT05v9QvArGDg,스무디킬러채윤아,51,148,117,False,False,False,False
MASTER,n_00xtsZEgWY4VTYjmUr8FL32VRPg7RF7XkItz0QQVOvxWBL,xiaochou1,20,387,362,False,False,True,False
MASTER,eqXhbC6PLI_quia28Eyhee2ShYyRc5iAZWYCHUdCudj36r0,고팡진,1,180,168,False,False,True,True
MASTER,dZLHRzo7OB3MPxwqLw0G8q8wJaNIwU57P5o97B4EoZlgDD4tNo39aXNFpw,kuailexingqiu,10,348,311,False,False,True,False
MASTER,dOUdf_xx0DUGck6Pei-WhQ8pnFwvqw-wqHb3s-GKKP7noA,Legends go,57,145,125,False,False,False,True
MASTER,7LjbMPM7Ptx45t9bnGX_58PN4ttE03SNVKBsIT2XTbbMvek,초심찾고마스터감,55,164,121,False,False,True,True
MASTER,BOrfMiRgNj9PcmAHogy6cat4HShCCBXR7ARsHE8XaooN0LU,Anyare,18,185,181,False,False,True,False
MASTER,qDsm8577mWgPtaIqmdgggWW_tHmH1LItuFzlKXxgPwh1n5Z4L5osiE4ang,Baolan heir,211,224,187,False,False,True,False
MASTER,efgGRLXe5GdKX-XgYMCJFnnx8fHgIgK91UDm0mhhfagla74,출 동,105,60,29,False,False,False,False
